Date,Home_Win,Home,Away,Home_Streak,Away_Streak,Home_Win_Percentage,Away_Win_Percentage
friday jul 5,L,SEA,OAK,-2,1,0.4175824175824176,0.5505617977528089
saturday jul 6,W,SEA,OAK,-3,2,0.4130434782608696,0.5555555555555556
sunday jul 7,L,SEA,OAK,1,-1,0.41935483870967744,0.5494505494505495
friday jul 12,W,OAK,CHW,1,1,0.5543478260869565,0.4883720930232558
saturday jul 13,W,OAK,CHW,2,-1,0.5591397849462365,0.4827586206896552
sunday jul 14,W,OAK,CHW,3,-2,0.5638297872340425,0.4772727272727273
tuesday jul 16,W,OAK,SEA,4,-4,0.5684210526315789,0.4020618556701031
wednesday jul 17,W,OAK,SEA,5,-5,0.5729166666666666,0.3979591836734694
thursday jul 18,W,MIN,OAK,-3,6,0.6170212765957447,0.5773195876288659
friday jul 19,L,MIN,OAK,1,-1,0.6210526315789474,0.5714285714285714
saturday jul 20,L,MIN,OAK,-1,1,0.6145833333333334,0.5757575757575758
sunday jul 21,W,MIN,OAK,-2,2,0.6082474226804123,0.58
thursday jul 25,L,OAK,TEX,-1,-1,0.5673076923076923,0.5
friday jul 26,L,OAK,TEX,-2,1,0.5619047619047619,0.5048543689320388
saturday jul 27,W,OAK,TEX,-3,2,0.5566037735849056,0.5096153846153846
sunday jul 28,W,OAK,TEX,1,-1,0.5607476635514018,0.5047619047619047
tuesday jul 30,W,OAK,MIL,2,-1,0.5648148148148148,0.5233644859813084
wednesday jul 31,L,OAK,MIL,3,-2,0.5688073394495413,0.5185185185185185
thursday aug 1,W,OAK,MIL,-1,1,0.5636363636363636,0.5229357798165137
saturday aug 3,W,OAK,STL,1,1,0.5675675675675675,0.5370370370370371
sunday aug 4,W,OAK,STL,2,-1,0.5714285714285714,0.5321100917431193
monday aug 5,W,CHC,OAK,3,3,0.5405405405405406,0.5752212389380531
tuesday aug 6,L,CHC,OAK,4,-1,0.5446428571428571,0.5701754385964912
wednesday aug 7,W,CHC,OAK,-1,1,0.5398230088495575,0.5739130434782609
friday aug 9,L,CHW,OAK,1,-1,0.4513274336283186,0.5689655172413793
saturday aug 10,W,CHW,OAK,-1,1,0.4473684210526316,0.5726495726495726
sunday aug 11,L,CHW,OAK,1,-1,0.4521739130434783,0.5677966101694916
tuesday aug 13,W,SFG,OAK,2,1,0.4957983193277311,0.5714285714285714
wednesday aug 14,L,SFG,OAK,3,-1,0.5,0.5666666666666667
tuesday aug 20,W,OAK,NYY,-1,-1,0.5760000000000001,0.6587301587301587
wednesday aug 21,W,OAK,NYY,1,-2,0.5793650793650794,0.6535433070866141
thursday aug 22,W,OAK,NYY,2,-3,0.5826771653543307,0.6484375
saturday aug 24,L,OAK,SFG,3,-4,0.5859375,0.4921875
sunday aug 25,L,OAK,SFG,-1,1,0.5813953488372093,0.4961240310077519
monday aug 26,L,KCR,OAK,1,-2,0.3511450381679389,0.5769230769230769
tuesday aug 27,L,KCR,OAK,-1,1,0.3484848484848485,0.5801526717557252
wednesday aug 28,W,KCR,OAK,-2,2,0.3458646616541353,0.5833333333333334
thursday aug 29,L,KCR,OAK,1,-1,0.35074626865671643,0.5789473684210527
friday aug 30,L,NYY,OAK,4,1,0.6518518518518519,0.582089552238806
saturday aug 31,W,NYY,OAK,-1,2,0.6470588235294118,0.5851851851851851
sunday sep 1,W,NYY,OAK,1,-1,0.6496350364963503,0.5808823529411765
friday sep 6,L,OAK,DET,3,1,0.5857142857142857,0.2949640287769784
saturday sep 7,W,OAK,DET,-1,2,0.5815602836879432,0.3
sunday sep 8,W,OAK,DET,1,-1,0.5845070422535211,0.2978723404255319
friday sep 13,L,TEX,OAK,2,3,0.5,0.5918367346938775
saturday sep 14,L,TEX,OAK,-1,4,0.4966442953020134,0.5945945945945946
sunday sep 15,L,TEX,OAK,-2,5,0.4933333333333334,0.5973154362416108
monday sep 16,L,OAK,KCR,6,-3,0.6,0.3666666666666665
tuesday sep 17,W,OAK,KCR,-1,1,0.5960264900662252,0.3708609271523179
wednesday sep 18,W,OAK,KCR,1,-1,0.5986842105263158,0.3684210526315789
friday sep 20,W,OAK,TEX,2,-5,0.6013071895424836,0.4836601307189543
saturday sep 21,W,OAK,TEX,3,-6,0.6038961038961039,0.4805194805194805
sunday sep 22,L,OAK,TEX,4,-7,0.6064516129032258,0.4774193548387097
thursday sep 26,L,SEA,OAK,-3,1,0.4177215189873418,0.6012658227848101
friday sep 27,W,SEA,OAK,-4,2,0.4150943396226415,0.6037735849056604
saturday sep 28,L,SEA,OAK,1,-1,0.41875,0.6
sunday sep 29,W,SEA,OAK,-1,1,0.4161490683229814,0.6024844720496895
thursday mar 28,L,TOR,DET,0,0,0.0,0.0
friday mar 29,W,TOR,DET,-1,1,0.0,1.0
saturday mar 30,W,TOR,DET,1,-1,0.5,0.5
sunday mar 31,L,TOR,DET,2,-2,0.6666666666666666,0.3333333333333333
monday apr 1,L,TOR,BAL,-1,2,0.5,0.6666666666666666
tuesday apr 2,L,TOR,BAL,-2,3,0.4,0.75
wednesday apr 3,W,TOR,BAL,-3,4,0.3333333333333333,0.8
thursday apr 4,W,CLE,TOR,-1,1,0.4,0.42857142857142855
friday apr 5,W,CLE,TOR,1,-1,0.5,0.375
saturday apr 6,W,CLE,TOR,2,-2,0.5714285714285714,0.3333333333333333
sunday apr 7,W,CLE,TOR,3,-3,0.625,0.3
tuesday apr 9,L,BOS,TOR,1,-4,0.7272727272727273,0.2727272727272727
thursday apr 11,W,BOS,TOR,-1,1,0.75,0.3333333333333333
friday apr 12,L,TOR,TBR,-1,4,0.3076923076923077,0.7692307692307693
saturday apr 13,W,TOR,TBR,-2,5,0.2857142857142857,0.7857142857142857
sunday apr 14,L,TOR,TBR,1,-1,0.3333333333333333,0.7333333333333333
monday apr 15,L,MIN,TOR,2,-1,0.6666666666666666,0.3125
tuesday apr 16,L,MIN,TOR,-1,1,0.6153846153846154,0.35294117647058826
wednesday apr 17,W,MIN,TOR,-2,2,0.5714285714285714,0.3888888888888889
thursday apr 18,L,MIN,TOR,1,-1,0.6,0.3684210526315789
tuesday apr 23,L,TOR,SFG,4,1,0.4782608695652174,0.39130434782608703
wednesday apr 24,L,TOR,SFG,-1,2,0.4583333333333333,0.4166666666666667
friday may 3,L,TEX,TOR,-2,-3,0.4827586206896552,0.4516129032258064
saturday may 4,W,TEX,TOR,-3,1,0.4666666666666667,0.46875
sunday may 5,W,TEX,TOR,1,-1,0.4838709677419355,0.4545454545454545
monday may 6,L,TOR,MIN,-2,-1,0.4411764705882353,0.625
tuesday may 7,L,TOR,MIN,-3,1,0.42857142857142855,0.6363636363636364
