Team Name,Team Abbreviation,Year,League,Division,Games,Wins,Loses,Ties,Win_Percentage,Games_Back,Runs_Scored,Runs_Allowed
Philadelphia Phillies,PHI,2016,National,East,162,71,91,0,0.438,24,610,796
Atlanta Braves,ATL,2016,National,East,161,68,93,0,0.422,26.5,649,779
Chicago Cubs,CHC,2016,National,Central,162,103,58,1,0.64,-,808,556
St. Louis Cardinals,STL,2016,National,Central,162,86,76,0,0.531,17.5,779,712
Pittsburgh Pirates,PIT,2016,National,Central,162,78,83,1,0.484,25,729,758
Milwaukee Brewers,MIL,2016,National,Central,162,73,89,0,0.451,30.5,671,733
Cincinnati Reds,CIN,2016,National,Central,162,68,94,0,0.42,35.5,716,854
Los Angeles Dodgers,LAD,2016,National,West,162,91,71,0,0.562,-,725,638
San Francisco Giants,SFG,2016,National,West,162,87,75,0,0.537,4,715,631
Colorado Rockies,COL,2016,National,West,162,75,87,0,0.463,16,845,860
Arizona Diamondbacks,ARI,2016,National,West,162,69,93,0,0.426,22,752,890
San Diego Padres,SDP,2016,National,West,162,68,94,0,0.42,23,686,770
Boston Red Sox,BOS,2016,American,East,162,93,69,0,0.574,-,878,694
Baltimore Orioles,BAL,2016,American,East,162,89,73,0,0.549,4,744,715
Toronto Blue Jays,TOR,2016,American,East,162,89,73,0,0.549,4,759,666
New York Yankees,NYY,2016,American,East,162,84,78,0,0.519,9,680,702
Tampa Bay Rays,TBR,2016,American,East,162,68,94,0,0.42,25,672,713
Cleveland Indians,CLE,2016,American,Central,161,94,67,0,0.584,-,777,676
Detroit Tigers,DET,2016,American,Central,161,86,75,0,0.534,8,750,721
Kansas City Royals,KCR,2016,American,Central,162,81,81,0,0.5,13.5,675,712
Chicago White Sox,CHW,2016,American,Central,162,78,84,0,0.481,16.5,686,715
Minnesota Twins,MIN,2016,American,Central,162,59,103,0,0.364,35.5,722,889
Texas Rangers,TEX,2016,American,West,162,95,67,0,0.586,-,765,757
Seattle Mariners,SEA,2016,American,West,162,86,76,0,0.531,9,768,707
Houston Astros,HOU,2016,American,West,162,84,78,0,0.519,11,724,701
Anaheim Angels,LAA,2016,American,West,162,74,88,0,0.457,21,717,727
Oakland Athletics,OAK,2016,American,West,162,69,93,0,0.426,26,653,761
Washington Nationals,WSN,2017,National,East,162,97,65,0,0.599,-,819,672
Miami Marlins,MIA,2017,National,East,162,77,85,0,0.475,20,778,822
Atlanta Braves,ATL,2017,National,East,162,72,90,0,0.444,25,732,821
New York Mets,NYM,2017,National,East,162,70,92,0,0.432,27,735,863
Philadelphia Phillies,PHI,2017,National,East,162,66,96,0,0.407,31,690,782
Chicago Cubs,CHC,2017,National,Central,162,92,70,0,0.568,-,822,695
Milwaukee Brewers,MIL,2017,National,Central,162,86,76,0,0.531,6,732,697
St. Louis Cardinals,STL,2017,National,Central,162,83,79,0,0.512,9,761,705
Pittsburgh Pirates,PIT,2017,National,Central,162,75,87,0,0.463,17,668,731
Cincinnati Reds,CIN,2017,National,Central,162,68,94,0,0.42,24,753,869
Los Angeles Dodgers,LAD,2017,National,West,162,104,58,0,0.642,-,770,580
Arizona Diamondbacks,ARI,2017,National,West,162,93,69,0,0.574,11,812,659
Colorado Rockies,COL,2017,National,West,162,87,75,0,0.537,17,824,757
San Diego Padres,SDP,2017,National,West,162,71,91,0,0.438,33,604,816
San Francisco Giants,SFG,2017,National,West,162,64,98,0,0.395,40,639,776
Boston Red Sox,BOS,2017,American,East,162,93,69,0,0.574,-,785,668
New York Yankees,NYY,2017,American,East,162,91,71,0,0.562,2,858,660
Tampa Bay Rays,TBR,2017,American,East,162,80,82,0,0.494,13,694,704
Toronto Blue Jays,TOR,2017,American,East,162,76,86,0,0.469,17,693,784
Baltimore Orioles,BAL,2017,American,East,162,75,87,0,0.463,18,743,841
Cleveland Indians,CLE,2017,American,Central,162,102,60,0,0.63,-,818,564
Minnesota Twins,MIN,2017,American,Central,162,85,77,0,0.525,17,815,788
Kansas City Royals,KCR,2017,American,Central,162,80,82,0,0.494,22,702,791
Chicago White Sox,CHW,2017,American,Central,162,67,95,0,0.414,35,706,820
Detroit Tigers,DET,2017,American,Central,162,64,98,0,0.395,38,735,894
Houston Astros,HOU,2017,American,West,162,101,61,0,0.623,-,896,700
Anaheim Angels,LAA,2017,American,West,162,80,82,0,0.494,21,710,709
Seattle Mariners,SEA,2017,American,West,162,78,84,0,0.481,23,750,772
Texas Rangers,TEX,2017,American,West,162,78,84,0,0.481,23,799,816
Oakland Athletics,OAK,2017,American,West,162,75,87,0,0.463,26,739,826
Atlanta Braves,ATL,2018,National,East,162,90,72,0,0.556,-,759,657
Washington Nationals,WSN,2018,National,East,162,82,80,0,0.506,8,771,682
Philadelphia Phillies,PHI,2018,National,East,162,80,82,0,0.494,10,677,728
New York Mets,NYM,2018,National,East,162,77,85,0,0.475,13,676,707
Miami Marlins,MIA,2018,National,East,161,63,98,0,0.391,26.5,589,809
Milwaukee Brewers,MIL,2018,National,Central,163,96,67,0,0.589,-,754,659
Chicago Cubs,CHC,2018,National,Central,163,95,68,0,0.583,1,761,645
St. Louis Cardinals,STL,2018,National,Central,162,88,74,0,0.543,7.5,759,691
Pittsburgh Pirates,PIT,2018,National,Central,161,82,79,0,0.509,13,692,693
Cincinnati Reds,CIN,2018,National,Central,162,67,95,0,0.414,28.5,696,819
Los Angeles Dodgers,LAD,2018,National,West,163,92,71,0,0.564,-,804,610
