Date,Home_Win,Home,Away,Win Percent Delta,Streak Delta
friday apr 5,W,HOU,OAK,-0.3142857142857143,-3
saturday apr 6,W,HOU,OAK,-0.17045454545454541,2
sunday apr 7,W,HOU,OAK,-0.05555555555555558,4
monday apr 8,W,HOU,NYY,-0.05555555555555558,0
tuesday apr 9,W,HOU,NYY,0.045454545454545414,5
wednesday apr 10,W,HOU,NYY,0.1287878787878789,7
friday apr 12,L,SEA,HOU,0.2512820512820513,0
saturday apr 13,L,SEA,HOU,0.1696428571428571,-8
sunday apr 14,L,SEA,HOU,0.0980392156862745,-10
tuesday apr 16,L,OAK,HOU,-0.16118421052631582,-10
wednesday apr 17,W,OAK,HOU,-0.20588235294117652,-12
friday apr 19,L,TEX,HOU,-0.07843137254901955,5
saturday apr 20,W,TEX,HOU,-0.1286549707602339,-2
sunday apr 21,W,TEX,HOU,-0.07105263157894737,2
monday apr 22,L,HOU,MIN,-0.012531328320801949,-5
tuesday apr 23,W,HOU,MIN,-0.05909090909090908,-7
wednesday apr 24,W,HOU,MIN,-0.010351966873705987,2
thursday apr 25,L,HOU,CLE,0.05978260869565222,1
friday apr 26,L,HOU,CLE,0.016666666666666607,-3
saturday apr 27,W,HOU,CLE,-0.023076923076923106,-5
sunday apr 28,W,HOU,CLE,0.015669515669515688,2
monday apr 29,W,MIN,HOU,0.03285714285714292,1
tuesday apr 30,L,MIN,HOU,0.06763925729442977,5
wednesday may 1,W,MIN,HOU,0.029629629629629672,-2
thursday may 2,W,MIN,HOU,0.062211981566820285,2
monday may 6,W,HOU,KCR,0.24537815126050416,3
tuesday may 7,L,HOU,KCR,0.26666666666666666,5
wednesday may 8,W,HOU,KCR,0.231981981981982,-2
thursday may 9,W,HOU,TEX,0.09459459459459463,0
friday may 10,W,HOU,TEX,0.11954887218045113,3
saturday may 11,W,HOU,TEX,0.1431623931623932,5
sunday may 12,W,HOU,TEX,0.16554054054054052,7
monday may 13,L,DET,HOU,-0.16046213093709882,-4
tuesday may 14,L,DET,HOU,-0.18131868131868129,-7
wednesday may 15,L,DET,HOU,-0.20116279069767445,-9
friday may 17,L,BOS,HOU,-0.12420718816067655,-7
saturday may 18,L,BOS,HOU,-0.14393939393939392,-10
sunday may 19,W,BOS,HOU,-0.1628019323671498,-12
monday may 20,W,HOU,CHW,0.19290780141843966,0
tuesday may 21,W,HOU,CHW,0.21014492753623182,3
wednesday may 22,L,HOU,CHW,0.22666087711680427,5
thursday may 23,L,HOU,CHW,0.20166666666666672,-2
friday may 24,W,HOU,BOS,0.10705882352941176,-4
saturday may 25,W,HOU,BOS,0.1244343891402715,2
sunday may 26,L,HOU,BOS,0.14114658925979673,4
monday may 27,W,HOU,CHC,0.05991285403050106,0
tuesday may 28,W,HOU,CHC,0.07762237762237767,3
wednesday may 29,L,HOU,CHC,0.09467654986522911,5
friday may 31,L,OAK,HOU,-0.1228070175438597,-1
saturday jun 1,L,OAK,HOU,-0.13793103448275856,-4
sunday jun 2,L,OAK,HOU,-0.15254237288135597,-6
monday jun 3,L,SEA,HOU,-0.26344086021505375,-5
tuesday jun 4,L,SEA,HOU,-0.2753057507155868,-7
wednesday jun 5,W,SEA,HOU,-0.28679435483870963,-9
thursday jun 6,L,SEA,HOU,-0.2666666666666666,2
friday jun 7,W,HOU,BAL,0.3654233870967742,3
saturday jun 8,L,HOU,BAL,0.37533577533577533,5
sunday jun 9,W,HOU,BAL,0.35416666666666663,-2
tuesday jun 11,W,HOU,MIL,0.09588421528720037,-3
wednesday jun 12,L,HOU,MIL,0.10930640913081657,3
friday jun 14,W,HOU,TOR,0.2990196078431372,-3
saturday jun 15,W,HOU,TOR,0.3091097308488613,2
sunday jun 16,L,HOU,TOR,0.31891348088531185,4
monday jun 17,W,CIN,HOU,-0.21739130434782605,2
tuesday jun 18,W,CIN,HOU,-0.20039138943248536,4
wednesday jun 19,W,CIN,HOU,-0.1838599162542825,6
thursday jun 20,W,NYY,HOU,-0.009863013698630185,9
friday jun 21,W,NYY,HOU,0.0035561877667140696,11
saturday jun 22,W,NYY,HOU,0.01662337662337665,13
sunday jun 23,L,NYY,HOU,0.029352226720647745,15
tuesday jun 25,W,HOU,PIT,0.14656895403064618,-3
wednesday jun 26,L,HOU,PIT,0.15746753246753248,3
thursday jun 27,L,HOU,PIT,0.14292497625830952,-2
friday jun 28,W,HOU,SEA,0.17446197991391682,-1
saturday jun 29,W,HOU,SEA,0.18422527318576626,3
sunday jun 30,W,HOU,SEA,0.19376026272577995,5
tuesday jul 2,L,COL,HOU,-0.09971988795518205,-4
wednesday jul 3,L,COL,HOU,-0.11025991792065659,-6
thursday jul 11,W,TEX,HOU,-0.09999999999999998,-1
friday jul 12,W,TEX,HOU,-0.08791208791208793,3
saturday jul 13,L,TEX,HOU,-0.07608695652173914,5
sunday jul 14,L,TEX,HOU,-0.08602150537634412,-2
friday jul 19,W,HOU,TEX,0.10161564625850339,6
saturday jul 20,W,HOU,TEX,0.11079870873685316,8
sunday jul 21,W,HOU,TEX,0.11979591836734693,10
monday jul 22,W,HOU,OAK,0.05940594059405946,6
tuesday jul 23,L,HOU,OAK,0.06862745098039214,8
wednesday jul 24,W,HOU,OAK,0.058252427184466105,-2
friday jul 26,W,STL,HOU,-0.0953996983408748,4
saturday jul 27,L,STL,HOU,-0.08488210818307906,7
sunday jul 28,L,STL,HOU,-0.09361393323657474,-2
tuesday jul 30,L,CLE,HOU,-0.04503782821539826,-3
wednesday jul 31,W,CLE,HOU,-0.05398322851153037,-5
thursday aug 1,L,CLE,HOU,-0.04424247620680788,2
friday aug 2,W,HOU,SEA,0.21294021294021298,2
saturday aug 3,W,HOU,SEA,0.21999678249678245,4
sunday aug 4,W,HOU,SEA,0.22692793931731992,6
tuesday aug 6,W,HOU,COL,0.18173198482932995,3
wednesday aug 7,W,HOU,COL,0.18894581586710135,6
friday aug 9,L,BAL,HOU,-0.31884057971014496,-9
saturday aug 10,L,BAL,HOU,-0.3247376311844078,-11
sunday aug 11,W,BAL,HOU,-0.3305334512231064,-13
tuesday aug 13 (1),L,CHW,HOU,-0.20426651081239044,0
tuesday aug 13 (2),W,CHW,HOU,-0.21101774042950516,-3
wednesday aug 14,W,CHW,HOU,-0.20084745762711864,2
thursday aug 15,W,OAK,HOU,-0.07438016528925617,3
friday aug 16,W,OAK,HOU,-0.06557377049180335,5
saturday aug 17,W,OAK,HOU,-0.05691056910569103,7
sunday aug 18,L,OAK,HOU,-0.048387096774193505,9
monday aug 19,W,HOU,DET,0.32872131147540984,3
tuesday aug 20,W,HOU,DET,0.33410762679055356,5
wednesday aug 21,L,HOU,DET,0.33940817881635754,7
thursday aug 22,W,HOU,DET,0.3288125,-2
tuesday aug 27,W,HOU,TBR,0.06818181818181812,6
wednesday aug 28,W,HOU,TBR,0.07518796992481203,8
thursday aug 29,L,HOU,TBR,0.08208955223880599,10
friday aug 30,L,TOR,HOU,-0.24444444444444446,0
saturday aug 31,W,TOR,HOU,-0.2500000000000001,-3
sunday sep 1,L,TOR,HOU,-0.2408759124087591,2
monday sep 2,L,MIL,HOU,-0.1302216538789429,1
tuesday sep 3,W,MIL,HOU,-0.1365331092790001,-3
thursday sep 5,W,HOU,SEA,0.2285714285714286,1
friday sep 6,W,HOU,SEA,0.23404255319148937,4
saturday sep 7,W,HOU,SEA,0.23943661971830987,6
sunday sep 8,W,HOU,SEA,0.24475524475524468,8
monday sep 9,W,HOU,OAK,0.0653651903651904,2
tuesday sep 10,L,HOU,OAK,0.07183908045977005,6
wednesday sep 11,L,HOU,OAK,0.06447803495512527,-2
thursday sep 12,L,HOU,OAK,0.057217407510949614,-4
friday sep 13,L,KCR,HOU,-0.2677422320279463,5
saturday sep 14,L,KCR,HOU,-0.2726736803918012,-2
sunday sep 15,L,KCR,HOU,-0.2775391498881431,-4
tuesday sep 17,W,HOU,TEX,0.15894039735099336,6
wednesday sep 18,W,HOU,TEX,0.16447368421052627,8
tuesday sep 24,L,SEA,HOU,-0.23076923076923078,-2
wednesday sep 25,L,SEA,HOU,-0.2356687898089171,-4
wednesday mar 20,L,OAK,SEA,0.0,0
thursday mar 21,L,OAK,SEA,-0.5,-2
monday apr 1,W,OAK,BOS,-0.25,4
tuesday apr 2,W,OAK,BOS,-0.22857142857142865,6
wednesday apr 3,L,OAK,BOS,-0.20833333333333337,8
thursday apr 4,W,OAK,BOS,-0.15873015873015872,-2
monday apr 8,W,BAL,OAK,-0.0170940170940172,-1
tuesday apr 9,L,BAL,OAK,0.07142857142857145,5
wednesday apr 10,L,BAL,OAK,-0.0121212121212122,-2
thursday apr 11,L,BAL,OAK,-0.08333333333333331,-4
friday apr 12,L,TEX,OAK,-0.02941176470588236,-2
sunday apr 14,W,TEX,OAK,-0.09401709401709396,-5
friday apr 19,L,OAK,TOR,0.12380952380952381,0
saturday apr 20,L,OAK,TOR,0.07142857142857145,-3
sunday apr 21,L,OAK,TOR,0.02371541501976293,-5
monday apr 22,W,OAK,TEX,-0.14166666666666666,-5
tuesday apr 23,W,OAK,TEX,-0.09142857142857141,2
wednesday apr 24,W,OAK,TEX,-0.045454545454545414,4
friday apr 26,W,TOR,OAK,-0.07851851851851849,-5
saturday apr 27,W,TOR,OAK,-0.03846153846153838,2
sunday apr 28,W,TOR,OAK,-0.0012771392081736832,4
monday apr 29,W,BOS,OAK,0.14047619047619042,1
tuesday apr 30,W,BOS,OAK,0.1345939933259177,5
wednesday may 1,W,BOS,OAK,-0.004166666666666652,7
friday may 3,L,PIT,OAK,0.07575757575757575,8
saturday may 4,W,PIT,OAK,0.04158215010141991,-2
sunday may 5,W,PIT,OAK,0.07142857142857145,2
tuesday may 7,W,OAK,CIN,-0.011904761904761862,-3
wednesday may 8,W,OAK,CIN,0.015765765765765827,2
thursday may 9,L,OAK,CIN,0.041963015647226154,4
friday may 10,W,OAK,CLE,-0.11965811965811968,-3
saturday may 11,W,OAK,CLE,-0.09054054054054056,2
sunday may 12,L,OAK,CLE,-0.0629011553273427,4
monday may 13,W,SEA,OAK,0.012735326688814996,-3
tuesday may 14,W,SEA,OAK,0.035412262156448215,3
thursday may 16,L,DET,OAK,0.007206208425720562,0
friday may 17,L,DET,OAK,-0.015873015873015872,-5
saturday may 18,L,DET,OAK,-0.03791708796764409,-7
sunday may 19,L,DET,OAK,-0.05899419729206956,-9
monday may 20,L,CLE,OAK,0.0763888888888889,-2
tuesday may 21,L,CLE,OAK,0.05368234250221826,-6
wednesday may 22,L,CLE,OAK,0.03191489361702127,-8
friday may 24,W,OAK,SEA,0.06749622926093513,10
saturday may 25,W,OAK,SEA,0.08526850507982586,12
sunday may 26,W,OAK,SEA,0.10237596086652695,14
friday jun 7,L,TEX,OAK,0.025396825396825418,1
saturday jun 8 (1),W,TEX,OAK,0.008965163934426257,-3
saturday jun 8 (2),W,TEX,OAK,0.02456575682382134,2
sunday jun 9,L,TEX,OAK,0.03968253968253965,4
monday jun 10,W,TBR,OAK,0.1175373134328358,0
tuesday jun 11,L,TBR,OAK,0.13076923076923075,3
wednesday jun 12,L,TBR,OAK,0.11396574440052698,-2
friday jun 14,L,OAK,SEA,0.11150793650793644,3
saturday jun 15,W,OAK,SEA,0.09608334941153773,-2
sunday jun 16,L,OAK,SEA,0.10848348348348341,2
monday jun 17,W,OAK,BAL,0.21107466718116924,4
tuesday jun 18,W,OAK,BAL,0.2218468468468468,7
wednesday jun 19,W,OAK,BAL,0.2323287671232877,9
thursday jun 20,W,OAK,TBR,-0.05476529160739685,6
friday jun 21,L,OAK,TBR,-0.04086580086580094,8
saturday jun 22,W,OAK,TBR,-0.053306342780026994,-2
sunday jun 23,L,OAK,TBR,-0.039783001808318286,2
tuesday jun 25,L,STL,OAK,-0.005519480519480591,0
wednesday jun 26,L,STL,OAK,-0.01804368471035145,-3
tuesday jul 2,W,OAK,MIN,-0.09204258896049311,4
wednesday jul 3,L,OAK,MIN,-0.07922824302134646,6
thursday jul 4,W,OAK,MIN,-0.08983957219251337,-2
friday jul 5,L,SEA,OAK,-0.1329793801703913,-3
saturday jul 6,W,SEA,OAK,-0.14251207729468596,-5
sunday jul 7,L,SEA,OAK,-0.13009571074087206,2
friday jul 12,W,OAK,CHW,0.06597573306370075,0
saturday jul 13,W,OAK,CHW,0.07638116425658131,3
sunday jul 14,W,OAK,CHW,0.08655705996131524,5
tuesday jul 16,W,OAK,SEA,0.16635919696147583,8
wednesday jul 17,W,OAK,SEA,0.17495748299319724,10
thursday jul 18,W,MIN,OAK,0.039701688966878756,-9
friday jul 19,L,MIN,OAK,0.049624060150376015,2
saturday jul 20,L,MIN,OAK,0.03882575757575757,-2
sunday jul 21,W,MIN,OAK,0.02824742268041236,-4
thursday jul 25,L,OAK,TEX,0.06730769230769229,0
friday jul 26,L,OAK,TEX,0.057050392972723074,-3
saturday jul 27,W,OAK,TEX,0.04698838896952107,-5
sunday jul 28,W,OAK,TEX,0.055985758789497075,2
tuesday jul 30,W,OAK,MIL,0.04145032883350641,3
wednesday jul 31,L,OAK,MIL,0.050288820931022826,5
thursday aug 1,W,OAK,MIL,0.04070058381984987,-2
saturday aug 3,W,OAK,STL,0.030530530530530453,0
sunday aug 4,W,OAK,STL,0.0393184796854521,3
monday aug 5,W,CHC,OAK,-0.03468069839751253,0
tuesday aug 6,L,CHC,OAK,-0.02553258145363413,5
wednesday aug 7,W,CHC,OAK,-0.034090034628703414,-2
friday aug 9,L,CHW,OAK,-0.11763808361306072,2
saturday aug 10,W,CHW,OAK,-0.12528115159694103,-2
sunday aug 11,L,CHW,OAK,-0.11562269712601325,2
tuesday aug 13,W,SFG,OAK,-0.07563025210084029,1
wednesday aug 14,L,SFG,OAK,-0.06666666666666665,4
tuesday aug 20,W,OAK,NYY,-0.08273015873015865,0
wednesday aug 21,W,OAK,NYY,-0.0741782277215347,3
thursday aug 22,W,OAK,NYY,-0.06576033464566933,5
saturday aug 24,L,OAK,SFG,0.09375,7
sunday aug 25,L,OAK,SFG,0.08527131782945746,-2
monday aug 26,L,KCR,OAK,-0.22577803875513797,3
tuesday aug 27,L,KCR,OAK,-0.23166782327087665,-2
wednesday aug 28,W,KCR,OAK,-0.23746867167919805,-4
thursday aug 29,L,KCR,OAK,-0.22820109976433622,2
friday aug 30,L,NYY,OAK,0.06976229961304592,3
saturday aug 31,W,NYY,OAK,0.061873638344226656,-3
sunday sep 1,W,NYY,OAK,0.06875268355517383,2
friday sep 6,L,OAK,DET,0.2907502569373073,2
saturday sep 7,W,OAK,DET,0.2815602836879432,-3
sunday sep 8,W,OAK,DET,0.2866347018279892,2
friday sep 13,L,TEX,OAK,-0.09183673469387754,-1
saturday sep 14,L,TEX,OAK,-0.0979502992925812,-5
sunday sep 15,L,TEX,OAK,-0.10398210290827736,-7
monday sep 16,L,OAK,KCR,0.2333333333333335,9
tuesday sep 17,W,OAK,KCR,0.22516556291390732,-2
wednesday sep 18,W,OAK,KCR,0.2302631578947369,2
friday sep 20,W,OAK,TEX,0.11764705882352933,7
saturday sep 21,W,OAK,TEX,0.12337662337662342,9
sunday sep 22,L,OAK,TEX,0.12903225806451613,11
thursday sep 26,L,SEA,OAK,-0.18354430379746833,-4
friday sep 27,W,SEA,OAK,-0.18867924528301888,-6
saturday sep 28,L,SEA,OAK,-0.18124999999999997,2
sunday sep 29,W,SEA,OAK,-0.1863354037267081,-2
thursday mar 28,L,TOR,DET,0.0,0
friday mar 29,W,TOR,DET,-1.0,-2
saturday mar 30,W,TOR,DET,0.0,2
sunday mar 31,L,TOR,DET,0.3333333333333333,4
monday apr 1,L,TOR,BAL,-0.16666666666666663,-3
tuesday apr 2,L,TOR,BAL,-0.35,-5
wednesday apr 3,W,TOR,BAL,-0.46666666666666673,-7
thursday apr 4,W,CLE,TOR,-0.028571428571428525,-2
friday apr 5,W,CLE,TOR,0.125,2
saturday apr 6,W,CLE,TOR,0.23809523809523808,4
sunday apr 7,W,CLE,TOR,0.325,6
tuesday apr 9,L,BOS,TOR,0.4545454545454546,5
thursday apr 11,W,BOS,TOR,0.4166666666666667,-2
friday apr 12,L,TOR,TBR,-0.46153846153846156,-5
saturday apr 13,W,TOR,TBR,-0.5,-7
sunday apr 14,L,TOR,TBR,-0.39999999999999997,2
monday apr 15,L,MIN,TOR,0.35416666666666663,3
tuesday apr 16,L,MIN,TOR,0.26244343891402716,-2
wednesday apr 17,W,MIN,TOR,0.1825396825396825,-4
thursday apr 18,L,MIN,TOR,0.23157894736842105,2
tuesday apr 23,L,TOR,SFG,0.08695652173913038,3
wednesday apr 24,L,TOR,SFG,0.04166666666666663,-3
friday may 3,L,TEX,TOR,0.03114571746384881,1
saturday may 4,W,TEX,TOR,-0.002083333333333326,-4
sunday may 5,W,TEX,TOR,0.029325513196481023,2
monday may 6,L,TOR,MIN,-0.18382352941176472,-1
tuesday may 7,L,TOR,MIN,-0.2077922077922078,-4
wednesday may 8,L,TOR,MIN,-0.2303921568627451,-6
friday may 10,W,TOR,CHW,-0.03903903903903899,-3
saturday may 11,L,TOR,CHW,-0.011379800853485167,4
sunday may 12,L,TOR,CHW,-0.03711201079622134,-2
tuesday may 14,L,SFG,TOR,0.024999999999999967,3
wednesday may 15,W,SFG,TOR,0.0,-2
thursday may 16,W,CHW,TOR,0.058652729384436664,0
friday may 17,L,CHW,TOR,0.08084163898117391,3
saturday may 18,W,CHW,TOR,0.056025369978858264,-2
sunday may 19,L,CHW,TOR,0.07727272727272727,2
monday may 20,L,TOR,BOS,-0.10869565217391297,0
tuesday may 21,W,TOR,BOS,-0.12765957446808512,-3
wednesday may 22,L,TOR,BOS,-0.10416666666666669,2
thursday may 23,L,TOR,BOS,-0.1224489795918367,-2
friday may 24,L,TOR,SDP,-0.12,-5
