Date,Home_Win,Home,Away,Win Percent Delta,Streak Delta,Run Scored Delta,Run Allowed Delta,Run Delta Delta,Run Delta Percent Delta,Win Total Delta,H_AVG,H_OBP,H_SLG,H_BFW,H_O_AVG,H_O_OBP,H_O_SLG,A_AVG,A_OBP,A_SLG,A_BFW,A_O_AVG,A_O_OBP,A_O_SLG
sunday may 19,L,SDP,PIT,-0.03488372093023251,-4,11,-8,19,0.08879999999999999,0,0.238,0.308,0.41,-8.8,0.251,0.315,0.43,0.265,0.321,0.42,-4.0,0.268,0.343,0.47
monday may 27,W,NYY,SDP,0.12554426705370106,0,66,-9,75,0.3469,6,0.267,0.339,0.49,11.2,0.248,0.314,0.439,0.238,0.308,0.41,-8.8,0.251,0.315,0.43
tuesday may 28,L,NYY,SDP,0.1418588399720475,3,69,-12,81,0.3701999999999999,7,0.267,0.339,0.49,11.2,0.248,0.314,0.439,0.238,0.308,0.41,-8.8,0.251,0.315,0.43
wednesday may 29,W,NYY,SDP,0.12087542087542093,-2,68,-11,79,0.3533000000000001,6,0.267,0.339,0.49,11.2,0.248,0.314,0.439,0.238,0.308,0.41,-8.8,0.251,0.315,0.43
monday jun 3,W,SDP,PHI,-0.05084745762711862,2,-55,-6,-49,-0.1866,-3,0.238,0.308,0.41,-8.8,0.251,0.315,0.43,0.246,0.319,0.4270000000000001,-3.0,0.261,0.332,0.453
tuesday jun 4,L,SDP,PHI,-0.033333333333333326,6,-49,-12,-37,-0.13870000000000005,-2,0.238,0.308,0.41,-8.8,0.251,0.315,0.43,0.246,0.319,0.4270000000000001,-3.0,0.261,0.332,0.453
wednesday jun 5,L,SDP,PHI,-0.0491803278688524,-2,-52,-9,-43,-0.15660000000000007,-3,0.238,0.308,0.41,-8.8,0.251,0.315,0.43,0.246,0.319,0.4270000000000001,-3.0,0.261,0.332,0.453
thursday jun 13,W,COL,SDP,0.03709394205443367,3,86,44,42,0.13439999999999994,2,0.265,0.326,0.456,-1.4,0.277,0.348,0.4920000000000001,0.238,0.308,0.41,-8.8,0.251,0.315,0.43
friday jun 14,L,COL,SDP,0.05115089514066496,6,89,41,48,0.14879999999999993,3,0.265,0.326,0.456,-1.4,0.277,0.348,0.4920000000000001,0.238,0.308,0.41,-8.8,0.251,0.315,0.43
saturday jun 15,W,COL,SDP,0.036024844720496885,-2,85,45,40,0.12009999999999987,2,0.265,0.326,0.456,-1.4,0.277,0.348,0.4920000000000001,0.238,0.308,0.41,-8.8,0.251,0.315,0.43
sunday jun 16,L,COL,SDP,0.04969818913480889,2,91,39,52,0.14900000000000002,3,0.265,0.326,0.456,-1.4,0.277,0.348,0.4920000000000001,0.238,0.308,0.41,-8.8,0.251,0.315,0.43
friday jun 21,W,PIT,SDP,-0.05461187214611879,-3,-2,43,-45,-0.10199999999999998,-5,0.265,0.321,0.42,-4.0,0.268,0.343,0.47,0.238,0.308,0.41,-8.8,0.251,0.315,0.43
saturday jun 22,W,PIT,SDP,-0.04054054054054052,3,-1,42,-43,-0.0968,-4,0.265,0.321,0.42,-4.0,0.268,0.343,0.47,0.238,0.308,0.41,-8.8,0.251,0.315,0.43
