Date,Home_Win,Home,Away,Win Percent Delta,Streak Delta,Run Scored Delta,Run Allowed Delta,Run Delta Delta,Run Delta Percent Delta,Win Total Delta,H_AVG,H_OBP,H_SLG,H_BFW,H_O_AVG,H_O_OBP,H_O_SLG,A_AVG,A_OBP,A_SLG,A_BFW,A_O_AVG,A_O_OBP,A_O_SLG
friday sep 13,L,TEX,OAK,-0.09183673469387754,-1,-35,141,-176,-0.26770000000000005,-13,0.248,0.319,0.431,-9.7,0.269,0.342,0.464,0.249,0.327,0.448,1.6,0.242,0.308,0.404
saturday sep 14,L,TEX,OAK,-0.0979502992925812,-5,-40,146,-186,-0.27790000000000004,-14,0.248,0.319,0.431,-9.7,0.269,0.342,0.464,0.249,0.327,0.448,1.6,0.242,0.308,0.404
sunday sep 15,L,TEX,OAK,-0.10398210290827736,-7,-42,148,-190,-0.2809000000000001,-15,0.248,0.319,0.431,-9.7,0.269,0.342,0.464,0.249,0.327,0.448,1.6,0.242,0.308,0.404
monday sep 16,L,OAK,KCR,0.2333333333333335,9,166,-153,319,0.4424,35,0.249,0.327,0.448,1.6,0.242,0.308,0.404,0.247,0.309,0.401,-10.1,0.273,0.348,0.456
tuesday sep 17,W,OAK,KCR,0.22516556291390727,-2,165,-152,317,0.4361999999999999,34,0.249,0.327,0.448,1.6,0.242,0.308,0.404,0.247,0.309,0.401,-10.1,0.273,0.348,0.456
wednesday sep 18,W,OAK,KCR,0.2302631578947369,2,166,-153,319,0.4381,35,0.249,0.327,0.448,1.6,0.242,0.308,0.404,0.247,0.309,0.401,-10.1,0.273,0.348,0.456
friday sep 20,W,OAK,TEX,0.11764705882352933,7,52,-153,205,0.2975000000000001,18,0.249,0.327,0.448,1.6,0.242,0.308,0.404,0.248,0.319,0.431,-9.7,0.269,0.342,0.464
saturday sep 21,W,OAK,TEX,0.12337662337662345,9,60,-161,221,0.3188000000000001,19,0.249,0.327,0.448,1.6,0.242,0.308,0.404,0.248,0.319,0.431,-9.7,0.269,0.342,0.464
sunday sep 22,L,OAK,TEX,0.12903225806451613,11,69,-170,239,0.3412000000000001,20,0.249,0.327,0.448,1.6,0.242,0.308,0.404,0.248,0.319,0.431,-9.7,0.269,0.342,0.464
thursday sep 26,L,SEA,OAK,-0.1835443037974684,-4,-87,213,-300,-0.398,-29,0.237,0.316,0.424,-3.6,0.263,0.326,0.469,0.249,0.327,0.448,1.6,0.242,0.308,0.404
friday sep 27,W,SEA,OAK,-0.18867924528301888,-6,-89,215,-304,-0.4024,-30,0.237,0.316,0.424,-3.6,0.263,0.326,0.469,0.249,0.327,0.448,1.6,0.242,0.308,0.404
saturday sep 28,L,SEA,OAK,-0.18125,2,-88,214,-302,-0.3978,-29,0.237,0.316,0.424,-3.6,0.263,0.326,0.469,0.249,0.327,0.448,1.6,0.242,0.308,0.404
sunday sep 29,W,SEA,OAK,-0.1863354037267081,-2,-89,215,-304,-0.4002999999999999,-30,0.237,0.316,0.424,-3.6,0.263,0.326,0.469,0.249,0.327,0.448,1.6,0.242,0.308,0.404
thursday mar 28,L,TOR,DET,0.0,0,0,0,0,0.0,0,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.24,0.294,0.388,-21.1,0.275,0.342,0.478
friday mar 29,W,TOR,DET,-1.0,-2,-2,2,-4,0.0,-1,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.24,0.294,0.388,-21.1,0.275,0.342,0.478
saturday mar 30,W,TOR,DET,0.0,2,4,-4,8,2.6667,0,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.24,0.294,0.388,-21.1,0.275,0.342,0.478
sunday mar 31,L,TOR,DET,0.3333333333333333,4,7,-7,14,4.2778,1,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.24,0.294,0.388,-21.1,0.275,0.342,0.478
monday apr 1,L,TOR,BAL,-0.16666666666666666,-3,-2,-9,7,1.0667,0,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.246,0.31,0.415,-11.0,0.271,0.342,0.4970000000000001
tuesday apr 2,L,TOR,BAL,-0.35,-5,-3,-8,5,0.4167000000000001,-1,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.246,0.31,0.415,-11.0,0.271,0.342,0.4970000000000001
wednesday apr 3,W,TOR,BAL,-0.4666666666666667,-7,-4,-7,3,0.2381,-2,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.246,0.31,0.415,-11.0,0.271,0.342,0.4970000000000001
thursday apr 4,W,CLE,TOR,-0.028571428571428525,-2,-10,6,-16,-0.7877,-1,0.25,0.32299999999999995,0.4320000000000001,-4.2,0.24,0.304,0.419,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
friday apr 5,W,CLE,TOR,0.125,2,-7,3,-10,-0.4346,0,0.25,0.32299999999999995,0.4320000000000001,-4.2,0.24,0.304,0.419,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
saturday apr 6,W,CLE,TOR,0.2380952380952381,4,-6,2,-8,-0.31409999999999993,1,0.25,0.32299999999999995,0.4320000000000001,-4.2,0.24,0.304,0.419,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
sunday apr 7,W,CLE,TOR,0.325,6,-1,-3,2,0.061100000000000036,2,0.25,0.32299999999999995,0.4320000000000001,-4.2,0.24,0.304,0.419,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
tuesday apr 9,L,BOS,TOR,0.4545454545454546,5,17,38,-21,-0.214,0,0.269,0.34,0.466,2.9,0.251,0.33,0.431,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
thursday apr 11,W,BOS,TOR,0.4166666666666667,-2,15,40,-25,-0.2775000000000001,-1,0.269,0.34,0.466,2.9,0.251,0.33,0.431,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
friday apr 12,L,TOR,TBR,-0.4615384615384616,-5,-16,20,-36,-1.3178,-6,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.254,0.325,0.431,-0.5,0.23,0.294,0.386
saturday apr 13,W,TOR,TBR,-0.5,-7,-20,24,-44,-1.2313,-7,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.254,0.325,0.431,-0.5,0.23,0.294,0.386
sunday apr 14,L,TOR,TBR,-0.4,2,-18,22,-40,-1.0478,-6,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.254,0.325,0.431,-0.5,0.23,0.294,0.386
monday apr 15,L,MIN,TOR,0.35416666666666663,3,9,-13,22,0.3778999999999999,3,0.27,0.338,0.494,7.3,0.257,0.316,0.419,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
tuesday apr 16,L,MIN,TOR,0.2624434389140272,-2,7,-11,18,0.2883000000000001,2,0.27,0.338,0.494,7.3,0.257,0.316,0.419,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
wednesday apr 17,W,MIN,TOR,0.1825396825396825,-4,6,-10,16,0.2352000000000001,1,0.27,0.338,0.494,7.3,0.257,0.316,0.419,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
thursday apr 18,L,MIN,TOR,0.23157894736842105,2,9,-13,22,0.3128000000000001,2,0.27,0.338,0.494,7.3,0.257,0.316,0.419,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
tuesday apr 23,L,TOR,SFG,0.08695652173913038,3,28,8,20,0.2419999999999999,2,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.239,0.302,0.392,-11.0,0.249,0.318,0.428
wednesday apr 24,L,TOR,SFG,0.04166666666666663,-3,27,9,18,0.20269999999999988,1,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.239,0.302,0.392,-11.0,0.249,0.318,0.428
friday may 3,L,TEX,TOR,0.031145717463848813,1,46,42,4,0.0181,0,0.248,0.319,0.431,-9.7,0.269,0.342,0.464,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
saturday may 4,W,TEX,TOR,-0.0020833333333333264,-4,45,43,2,0.0036000000000000476,-1,0.248,0.319,0.431,-9.7,0.269,0.342,0.464,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
sunday may 5,W,TEX,TOR,0.029325513196481023,2,48,40,8,0.04519999999999992,0,0.248,0.319,0.431,-9.7,0.269,0.342,0.464,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
monday may 6,L,TOR,MIN,-0.18382352941176472,-1,-33,-1,-32,-0.2273000000000001,-5,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.27,0.338,0.494,7.3,0.257,0.316,0.419
tuesday may 7,L,TOR,MIN,-0.2077922077922078,-4,-41,7,-48,-0.33540000000000003,-6,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.27,0.338,0.494,7.3,0.257,0.316,0.419
wednesday may 8,L,TOR,MIN,-0.2303921568627451,-6,-44,10,-54,-0.3745000000000001,-7,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.27,0.338,0.494,7.3,0.257,0.316,0.419
friday may 10,W,TOR,CHW,-0.03903903903903898,-3,-33,-40,7,0.002500000000000057,-1,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.261,0.314,0.414,-0.9,0.263,0.337,0.452
saturday may 11,L,TOR,CHW,-0.011379800853485169,4,-32,-41,9,0.01329999999999998,0,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.261,0.314,0.414,-0.9,0.263,0.337,0.452
sunday may 12,L,TOR,CHW,-0.03711201079622134,-2,-37,-36,-1,-0.035699999999999954,-1,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.261,0.314,0.414,-0.9,0.263,0.337,0.452
tuesday may 14,L,SFG,TOR,0.02499999999999997,3,16,18,-2,0.00780000000000003,1,0.239,0.302,0.392,-11.0,0.249,0.318,0.428,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
wednesday may 15,W,SFG,TOR,0.0,-2,12,22,-10,-0.031499999999999966,0,0.239,0.302,0.392,-11.0,0.249,0.318,0.428,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
thursday may 16,W,CHW,TOR,0.05865272938443665,0,36,36,0,0.028100000000000014,2,0.261,0.314,0.414,-0.9,0.263,0.337,0.452,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
friday may 17,L,CHW,TOR,0.08084163898117391,3,38,34,4,0.04559999999999997,3,0.261,0.314,0.414,-0.9,0.263,0.337,0.452,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
saturday may 18,W,CHW,TOR,0.056025369978858264,-2,30,42,-12,-0.02790000000000004,2,0.261,0.314,0.414,-0.9,0.263,0.337,0.452,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
sunday may 19,L,CHW,TOR,0.07727272727272727,2,33,39,-6,-0.0013999999999999568,3,0.261,0.314,0.414,-0.9,0.263,0.337,0.452,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
monday may 20,L,TOR,BOS,-0.10869565217391296,0,-69,-22,-47,-0.2308000000000001,-5,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.269,0.34,0.466,2.9,0.251,0.33,0.431
tuesday may 21,W,TOR,BOS,-0.12765957446808512,-3,-79,-12,-67,-0.3167000000000001,-6,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.269,0.34,0.466,2.9,0.251,0.33,0.431
wednesday may 22,L,TOR,BOS,-0.10416666666666667,2,-72,-19,-53,-0.2436,-5,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.269,0.34,0.466,2.9,0.251,0.33,0.431
thursday may 23,L,TOR,BOS,-0.1224489795918367,-2,-73,-18,-55,-0.24649999999999994,-6,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.269,0.34,0.466,2.9,0.251,0.33,0.431
friday may 24,L,TOR,SDP,-0.12,-5,0,16,-16,-0.06520000000000004,-6,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.238,0.308,0.41,-8.8,0.251,0.315,0.43
saturday may 25,L,TOR,SDP,-0.13725490196078444,-7,-3,19,-22,-0.0897,-7,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.238,0.308,0.41,-8.8,0.251,0.315,0.43
sunday may 26,W,TOR,SDP,-0.1538461538461538,-9,-18,34,-52,-0.209,-8,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.238,0.308,0.41,-8.8,0.251,0.315,0.43
monday may 27,W,TBR,TOR,0.2237735849056603,1,21,-90,111,0.5981,10,0.254,0.325,0.431,-0.5,0.23,0.294,0.386,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
tuesday may 28,W,TBR,TOR,0.238562091503268,4,26,-95,121,0.6350999999999999,11,0.254,0.325,0.431,-0.5,0.23,0.294,0.386,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
wednesday may 29,W,TBR,TOR,0.2527972027972029,6,28,-97,125,0.6502,12,0.254,0.325,0.431,-0.5,0.23,0.294,0.386,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
friday may 31,W,COL,TOR,0.13409090909090904,8,83,30,53,0.20040000000000013,7,0.265,0.326,0.456,-1.4,0.277,0.348,0.4920000000000001,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
saturday jun 1,W,COL,TOR,0.14943609022556398,10,90,23,67,0.2396999999999999,8,0.265,0.326,0.456,-1.4,0.277,0.348,0.4920000000000001,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
sunday jun 2,W,COL,TOR,0.1642468239564428,12,92,21,71,0.2501999999999999,9,0.265,0.326,0.456,-1.4,0.277,0.348,0.4920000000000001,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
tuesday jun 4,W,TOR,NYY,-0.2992402104032729,-5,-89,52,-141,-0.5520999999999999,-17,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.267,0.339,0.49,11.2,0.248,0.314,0.439
wednesday jun 5,W,TOR,NYY,-0.27740112994350297,3,-88,51,-139,-0.5366,-16,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.267,0.339,0.49,11.2,0.248,0.314,0.439
thursday jun 6,L,TOR,NYY,-0.2562841530054645,5,-84,47,-131,-0.4877999999999999,-15,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.267,0.339,0.49,11.2,0.248,0.314,0.439
friday jun 7,L,TOR,ARI,-0.1210957501280081,-2,-82,20,-102,-0.3467,-8,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.252,0.32299999999999995,0.434,-0.1,0.251,0.32,0.4320000000000001
saturday jun 8,L,TOR,ARI,-0.13492063492063494,-4,-88,26,-114,-0.3807,-9,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.252,0.32299999999999995,0.434,-0.1,0.251,0.32,0.4320000000000001
sunday jun 9,L,TOR,ARI,-0.14831730769230764,-6,-94,32,-126,-0.4166,-10,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.252,0.32299999999999995,0.434,-0.1,0.251,0.32,0.4320000000000001
tuesday jun 11,W,BAL,TOR,-0.04615384615384621,3,19,61,-42,-0.06900000000000006,-3,0.246,0.31,0.415,-11.0,0.271,0.342,0.4970000000000001,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
wednesday jun 12,L,BAL,TOR,-0.03030303030303033,6,21,59,-38,-0.059100000000000034,-2,0.246,0.31,0.415,-11.0,0.271,0.342,0.4970000000000001,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
thursday jun 13,L,BAL,TOR,-0.04477611940298504,-2,19,61,-42,-0.0683999999999999,-3,0.246,0.31,0.415,-11.0,0.271,0.342,0.4970000000000001,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
friday jun 21,W,BOS,TOR,0.17947368421052634,0,109,-35,144,0.3852,14,0.269,0.34,0.466,2.9,0.251,0.33,0.431,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
saturday jun 22,L,BOS,TOR,0.19019138755980852,3,111,-37,148,0.3896000000000001,15,0.269,0.34,0.466,2.9,0.251,0.33,0.431,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
sunday jun 23,L,BOS,TOR,0.17482517482517473,-2,110,-36,146,0.3769,14,0.269,0.34,0.466,2.9,0.251,0.33,0.431,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
monday jun 24,W,NYY,TOR,0.2645687645687645,-3,107,-71,178,0.491,20,0.267,0.339,0.49,11.2,0.248,0.314,0.439,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
tuesday jun 25,W,NYY,TOR,0.2739370334307044,2,109,-73,182,0.4901000000000001,21,0.267,0.339,0.49,11.2,0.248,0.314,0.439,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
wednesday jun 26,W,NYY,TOR,0.28306962025316457,4,110,-74,184,0.4909,22,0.267,0.339,0.49,11.2,0.248,0.314,0.439,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
friday jun 28,W,TOR,KCR,0.012345679012345843,-2,-10,19,-29,-0.06159999999999999,1,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.247,0.309,0.401,-10.1,0.273,0.348,0.456
saturday jun 29,W,TOR,KCR,0.02439024390243893,3,-6,15,-21,-0.04380000000000006,2,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.247,0.309,0.401,-10.1,0.273,0.348,0.456
sunday jun 30,L,TOR,KCR,0.03614457831325296,5,-4,13,-17,-0.034600000000000075,3,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.247,0.309,0.401,-10.1,0.273,0.348,0.456
monday jul 1,W,TOR,KCR,0.02380952380952389,-2,-5,14,-19,-0.03839999999999999,2,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.247,0.309,0.401,-10.1,0.273,0.348,0.456
tuesday jul 2,L,TOR,BOS,-0.14733893557422972,4,-97,26,-123,-0.2841,-12,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.269,0.34,0.466,2.9,0.251,0.33,0.431
wednesday jul 3,W,TOR,BOS,-0.15731874145006836,-2,-101,30,-131,-0.29700000000000004,-13,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.269,0.34,0.466,2.9,0.251,0.33,0.431
thursday jul 4,L,TOR,BOS,-0.14394546912590225,2,-98,27,-125,-0.28069999999999995,-12,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.269,0.34,0.466,2.9,0.251,0.33,0.431
friday jul 5,L,TOR,BAL,0.08430232558139528,-2,23,-68,91,0.1492,8,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.246,0.31,0.415,-11.0,0.271,0.342,0.4970000000000001
saturday jul 6,L,TOR,BAL,0.0719359421412889,-4,20,-65,85,0.1381,7,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.246,0.31,0.415,-11.0,0.271,0.342,0.4970000000000001
sunday jul 7,W,TOR,BAL,0.05984848484848465,-6,13,-58,71,0.11259999999999992,6,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.246,0.31,0.415,-11.0,0.271,0.342,0.4970000000000001
friday jul 12,W,NYY,TOR,0.27410089910089913,-3,110,-87,197,0.4658000000000001,23,0.267,0.339,0.49,11.2,0.248,0.314,0.439,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
saturday jul 13,L,NYY,TOR,0.2821201758671227,2,114,-91,205,0.483,24,0.267,0.339,0.49,11.2,0.248,0.314,0.439,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
sunday jul 14,W,NYY,TOR,0.2681003584229391,-2,113,-90,203,0.4764000000000001,23,0.267,0.339,0.49,11.2,0.248,0.314,0.439,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
monday jul 15,W,BOS,TOR,0.16529398307023566,-1,126,-16,142,0.29590000000000005,15,0.269,0.34,0.466,2.9,0.251,0.33,0.431,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
tuesday jul 16,L,BOS,TOR,0.17413213885778273,3,128,-18,146,0.2986,16,0.269,0.34,0.466,2.9,0.251,0.33,0.431,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
wednesday jul 17,W,BOS,TOR,0.1618421052631579,-2,122,-12,134,0.2704000000000001,15,0.269,0.34,0.466,2.9,0.251,0.33,0.431,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
thursday jul 18,W,BOS,TOR,0.17053264604810991,2,123,-13,136,0.2718999999999999,16,0.269,0.34,0.466,2.9,0.251,0.33,0.431,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
friday jul 19,L,DET,TOR,-0.05551898178626291,-2,-79,11,-90,-0.16900000000000004,-7,0.24,0.294,0.388,-21.1,0.275,0.342,0.478,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
saturday jul 20,L,DET,TOR,-0.06522673543950143,-6,-90,22,-112,-0.2036,-8,0.24,0.294,0.388,-21.1,0.275,0.342,0.478,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
sunday jul 21,W,DET,TOR,-0.07473684210526316,-8,-92,24,-116,-0.20809999999999995,-9,0.24,0.294,0.388,-21.1,0.275,0.342,0.478,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
monday jul 22,L,TOR,CLE,-0.20539502929884834,-2,-8,116,-124,-0.2633,-19,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.25,0.32299999999999995,0.4320000000000001,-4.2,0.24,0.304,0.419
tuesday jul 23,W,TOR,CLE,-0.21330956625074265,-4,-12,120,-132,-0.27790000000000004,-20,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.25,0.32299999999999995,0.4320000000000001,-4.2,0.24,0.304,0.419
wednesday jul 24,L,TOR,CLE,-0.20135922330097086,2,-11,119,-130,-0.27269999999999994,-19,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.25,0.32299999999999995,0.4320000000000001,-4.2,0.24,0.304,0.419
friday jul 26,L,TOR,TBR,-0.17738095238095242,-2,-31,134,-165,-0.36019999999999985,-19,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.254,0.325,0.431,-0.5,0.23,0.294,0.386
saturday jul 27,W,TOR,TBR,-0.1851752021563344,-4,-33,136,-169,-0.3675000000000001,-20,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.254,0.325,0.431,-0.5,0.23,0.294,0.386
sunday jul 28,L,TOR,TBR,-0.1740433785928407,2,-32,135,-167,-0.35550000000000004,-19,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.254,0.325,0.431,-0.5,0.23,0.294,0.386
monday jul 29,L,KCR,TOR,0.0,2,-1,-5,4,0.005800000000000027,0,0.247,0.309,0.401,-10.1,0.273,0.348,0.456,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
tuesday jul 30,L,KCR,TOR,-0.0092592592592593,-2,-5,-1,-4,-0.007499999999999951,-1,0.247,0.309,0.401,-10.1,0.273,0.348,0.456,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
wednesday jul 31,L,KCR,TOR,-0.01834862385321101,-4,-12,6,-18,-0.030399999999999983,-2,0.247,0.309,0.401,-10.1,0.273,0.348,0.456,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
thursday aug 1,L,BAL,TOR,-0.05446049277824977,-2,-16,91,-107,-0.14590000000000006,-7,0.246,0.31,0.415,-11.0,0.271,0.342,0.4970000000000001,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
friday aug 2,L,BAL,TOR,-0.06306306306306309,-5,-25,100,-125,-0.1713,-8,0.246,0.31,0.415,-11.0,0.271,0.342,0.4970000000000001,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
saturday aug 3,W,BAL,TOR,-0.07151048492791612,-7,-28,103,-131,-0.1795,-9,0.246,0.31,0.415,-11.0,0.271,0.342,0.4970000000000001,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
sunday aug 4,W,BAL,TOR,-0.06186645213193875,2,-26,101,-127,-0.1723,-8,0.246,0.31,0.415,-11.0,0.271,0.342,0.4970000000000001,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
monday aug 5,L,TBR,TOR,0.18048439683278988,8,26,-136,162,0.33329999999999993,20,0.254,0.325,0.431,-0.5,0.23,0.294,0.386,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
tuesday aug 6,W,TBR,TOR,0.1701754385964912,-2,24,-134,158,0.3243000000000001,19,0.254,0.325,0.431,-0.5,0.23,0.294,0.386,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
wednesday aug 7,L,TBR,TOR,0.17736131934032978,2,25,-135,160,0.32409999999999994,20,0.254,0.325,0.431,-0.5,0.23,0.294,0.386,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
thursday aug 8,L,TOR,NYY,-0.2561853351327036,-7,-154,62,-216,-0.3994999999999999,-28,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.267,0.339,0.49,11.2,0.248,0.314,0.439
friday aug 9,W,TOR,NYY,-0.26256448047162856,-10,-160,68,-228,-0.4154,-29,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.267,0.339,0.49,11.2,0.248,0.314,0.439
saturday aug 10,W,TOR,NYY,-0.25181106925528823,2,-154,62,-216,-0.3894,-28,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.267,0.339,0.49,11.2,0.248,0.314,0.439
sunday aug 11,L,TOR,NYY,-0.2412393162393163,4,-153,61,-214,-0.3825000000000001,-27,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.267,0.339,0.49,11.2,0.248,0.314,0.439
monday aug 12,W,TOR,TEX,-0.09931482658755386,-2,-61,1,-62,-0.10239999999999994,-10,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.248,0.319,0.431,-9.7,0.269,0.342,0.464
tuesday aug 13,W,TOR,TEX,-0.0901639344262295,2,-46,-14,-32,-0.053100000000000036,-9,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.248,0.319,0.431,-9.7,0.269,0.342,0.464
wednesday aug 14,L,TOR,TEX,-0.08116417298626771,4,-43,-17,-26,-0.04349999999999998,-8,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.248,0.319,0.431,-9.7,0.269,0.342,0.464
friday aug 16,W,TOR,SEA,0.0014542570068746818,-2,-26,-85,59,0.0746,1,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.237,0.316,0.424,-3.6,0.263,0.326,0.469
saturday aug 17,L,TOR,SEA,0.00949593495934964,2,-22,-89,67,0.08550000000000002,2,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.237,0.316,0.424,-3.6,0.263,0.326,0.469
sunday aug 18,L,TOR,SEA,0.001408090117767491,-2,-23,-88,65,0.08230000000000004,1,0.236,0.305,0.428,-8.3,0.259,0.337,0.451,0.237,0.316,0.424,-3.6,0.263,0.326,0.469
tuesday aug 20,W,LAD,TOR,0.24134483189601305,0,116,-147,263,0.5189,30,0.257,0.338,0.472,11.2,0.223,0.282,0.379,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
wednesday aug 21,W,LAD,TOR,0.2472933070866141,4,129,-160,289,0.561,31,0.257,0.338,0.472,11.2,0.223,0.282,0.379,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
thursday aug 22,W,LAD,TOR,0.2531492248062016,6,130,-161,291,0.5634,32,0.257,0.338,0.472,11.2,0.223,0.282,0.379,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
friday aug 23,W,SEA,TOR,0.02187499999999997,4,46,74,-28,-0.027899999999999925,2,0.237,0.316,0.424,-3.6,0.263,0.326,0.469,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
saturday aug 24,L,SEA,TOR,0.029410024261790624,7,49,71,-22,-0.01970000000000005,3,0.237,0.316,0.424,-3.6,0.263,0.326,0.469,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
sunday aug 25,W,SEA,TOR,0.02156177156177158,-2,47,73,-26,-0.025000000000000026,2,0.237,0.316,0.424,-3.6,0.263,0.326,0.469,0.236,0.305,0.428,-8.3,0.259,0.337,0.451
