Team Name,Team Abbreviation,Year,League,Division,Games,Wins,Loses,Ties,Win_Percentage,Games_Back,Runs_Scored,Runs_Allowed,AVG,OBP,SLG,BFW,O_AVG,O_OBP,O_SLG
New York Mets,NYM,2014,National,East,162,79,83,0,0.488,17,629,618,0.239,0.308,0.364,3.0,0.248,0.315,0.382
Miami Marlins,MIA,2014,National,East,162,77,85,0,0.475,19,645,674,0.253,0.317,0.378,1.5,0.264,0.323,0.39
Milwaukee Brewers,MIL,2014,National,Central,162,82,80,0,0.506,8,650,657,0.25,0.311,0.397,0.7,0.25,0.307,0.393
Chicago Cubs,CHC,2014,National,Central,162,73,89,0,0.451,17,614,707,0.239,0.3,0.385,-5.7,0.252,0.318,0.376
St. Louis Cardinals,STL,2014,National,Central,162,90,72,0,0.556,-,619,603,0.253,0.32,0.369,-1.0,0.242,0.308,0.366
Pittsburgh Pirates,PIT,2014,National,Central,162,88,74,0,0.5429999999999999,2,682,631,0.259,0.33,0.404,14.5,0.247,0.318,0.371
Cincinnati Reds,CIN,2014,National,Central,162,76,86,0,0.469,14,595,612,0.238,0.296,0.365,-5.5,0.237,0.309,0.383
Los Angeles Dodgers,LAD,2014,National,West,162,94,68,0,0.58,-,718,617,0.265,0.333,0.406,12.2,0.242,0.3,0.376
Colorado Rockies,COL,2014,National,West,162,66,96,0,0.40700000000000003,28,755,818,0.276,0.327,0.445,8.1,0.276,0.342,0.443
Arizona Diamondbacks,ARI,2014,National,West,162,64,98,0,0.395,30,615,742,0.248,0.302,0.376,-4.1,0.265,0.326,0.414
San Francisco Giants,SFG,2014,National,West,162,88,74,0,0.5429999999999999,6,665,614,0.255,0.311,0.388,5.2,0.241,0.297,0.382
San Diego Padres,SDP,2014,National,West,162,77,85,0,0.475,17,535,577,0.226,0.292,0.342,-10.9,0.241,0.304,0.362
Boston Red Sox,BOS,2014,American,East,162,71,91,0,0.43799999999999994,25,634,715,0.244,0.316,0.369,-4.1,0.26,0.321,0.409
New York Yankees,NYY,2014,American,East,162,84,78,0,0.519,12,633,664,0.245,0.307,0.38,-5.1,0.25,0.305,0.395
Tampa Bay Rays,TBR,2014,American,East,162,77,85,0,0.475,19,612,625,0.247,0.317,0.367,-9.0,0.234,0.3,0.362
Toronto Blue Jays,TOR,2014,American,East,162,83,79,0,0.512,13,723,686,0.259,0.323,0.414,6.0,0.253,0.318,0.407
Baltimore Orioles,BAL,2014,American,East,162,96,66,0,0.593,-,705,593,0.256,0.311,0.422,3.8,0.244,0.308,0.382
Cleveland Indians,CLE,2014,American,Central,162,85,77,0,0.525,5,669,653,0.253,0.317,0.389,1.0,0.25,0.312,0.385
Minnesota Twins,MIN,2014,American,Central,162,70,92,0,0.43200000000000005,20,715,777,0.254,0.324,0.389,1.0,0.28,0.33,0.428
Detroit Tigers,DET,2014,American,Central,162,90,72,0,0.556,-,757,705,0.277,0.331,0.426,11.1,0.263,0.321,0.401
Chicago White Sox,CHW,2014,American,Central,162,73,89,0,0.451,17,660,758,0.253,0.31,0.398,4.4,0.265,0.337,0.401
Kansas City Royals,KCR,2014,American,Central,162,89,73,0,0.5489999999999999,1,651,624,0.263,0.314,0.376,-6.3,0.25,0.31,0.377
Houston Astros,HOU,2014,American,West,162,70,92,0,0.43200000000000005,28,629,723,0.242,0.309,0.383,0.6,0.26,0.323,0.396
Oakland Athletics,OAK,2014,American,West,162,88,74,0,0.5429999999999999,10,729,572,0.244,0.32,0.381,5.9,0.233,0.29,0.356
Anaheim Angels,LAA,2014,American,West,162,98,64,0,0.605,-,773,630,0.259,0.322,0.406,3.8,0.236,0.305,0.351
Seattle Mariners,SEA,2014,American,West,162,87,75,0,0.537,11,634,554,0.244,0.3,0.376,-0.6,0.23,0.295,0.356
Texas Rangers,TEX,2014,American,West,162,67,95,0,0.414,31,637,773,0.256,0.314,0.375,-5.0,0.272,0.336,0.428
Atlanta Braves,ATL,2015,National,East,162,67,95,0,0.414,23,573,760,0.251,0.314,0.359,-2.0,0.268,0.339,0.426
Washington Nationals,WSN,2015,National,East,162,83,79,0,0.512,7,703,635,0.251,0.321,0.403,0.9,0.25,0.301,0.384
Philadelphia Phillies,PHI,2015,National,East,162,63,99,0,0.389,27,626,809,0.249,0.303,0.382,-7.4,0.28,0.341,0.445
New York Mets,NYM,2015,National,East,162,90,72,0,0.556,-,683,613,0.244,0.312,0.4,0.8,0.243,0.296,0.377
Miami Marlins,MIA,2015,National,East,162,71,91,0,0.43799999999999994,19,613,678,0.26,0.31,0.384,-3.3,0.255,0.322,0.396
Milwaukee Brewers,MIL,2015,National,Central,162,68,94,0,0.42,32,655,737,0.251,0.307,0.393,-1.1,0.261,0.329,0.422
Chicago Cubs,CHC,2015,National,Central,162,97,65,0,0.599,3,689,608,0.244,0.321,0.398,5.7,0.233,0.29,0.372
St. Louis Cardinals,STL,2015,National,Central,162,100,62,0,0.617,-,647,525,0.253,0.321,0.394,0.6,0.246,0.31,0.366
Pittsburgh Pirates,PIT,2015,National,Central,162,98,64,0,0.605,2,697,596,0.26,0.323,0.396,5.0,0.248,0.311,0.361
Cincinnati Reds,CIN,2015,National,Central,162,64,98,0,0.395,36,640,754,0.248,0.312,0.394,-0.9,0.258,0.328,0.42
Los Angeles Dodgers,LAD,2015,National,West,162,92,70,0,0.568,-,667,595,0.25,0.326,0.413,8.6,0.242,0.297,0.372
Colorado Rockies,COL,2015,National,West,162,68,94,0,0.42,24,737,844,0.265,0.315,0.432,0.6,0.283,0.353,0.461
Arizona Diamondbacks,ARI,2015,National,West,162,79,83,0,0.488,13,720,713,0.264,0.324,0.414,1.2,0.258,0.322,0.423
San Francisco Giants,SFG,2015,National,West,162,84,78,0,0.519,8,696,627,0.267,0.326,0.406,4.7,0.246,0.305,0.395
San Diego Padres,SDP,2015,National,West,162,74,88,0,0.457,18,650,731,0.243,0.3,0.385,-6.0,0.252,0.321,0.414
Boston Red Sox,BOS,2015,American,East,162,78,84,0,0.48100000000000004,15,748,753,0.265,0.325,0.415,0.3,0.264,0.327,0.424
New York Yankees,NYY,2015,American,East,162,87,75,0,0.537,6,764,698,0.251,0.323,0.421,3.4,0.253,0.316,0.406
Tampa Bay Rays,TBR,2015,American,East,162,80,82,0,0.494,13,644,642,0.252,0.314,0.406,-6.1,0.24,0.304,0.385
Toronto Blue Jays,TOR,2015,American,East,162,93,69,0,0.574,-,891,670,0.269,0.34,0.457,16.2,0.248,0.304,0.403
Baltimore Orioles,BAL,2015,American,East,162,81,81,0,0.5,12,713,693,0.25,0.307,0.421,-0.9,0.257,0.321,0.418
Cleveland Indians,CLE,2015,American,Central,161,81,80,0,0.503,13.5,669,640,0.256,0.325,0.401,0.4,0.237,0.297,0.386
Minnesota Twins,MIN,2015,American,Central,162,83,79,0,0.512,12,696,700,0.247,0.305,0.399,-8.6,0.269,0.321,0.418
Detroit Tigers,DET,2015,American,Central,161,74,87,0,0.46,20.5,689,803,0.27,0.328,0.42,4.1,0.268,0.33,0.444
Chicago White Sox,CHW,2015,American,Central,162,76,86,0,0.469,19,622,701,0.25,0.306,0.38,-6.8,0.26,0.322,0.41
